pref	genome	S_alg	k	d	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
yeast.S_streaming.k_17.d_na	yeast	streaming	17	na	35.79	8.32	10.44	52%	461520	0	0	35.848855
yeast.S_greedy.k_18.d_na	yeast	greedy	18	na	38.02	2.10	26.28	74%	2823696	0	0	38.107693
yeast.S_pseudosimplitigs.k_18.d_1	yeast	pseudosimplitigs	18	1	46.16	1.76	34.41	78%	2166912	0	0	46.213425
yeast.S_pseudosimplitigs.k_18.d_2	yeast	pseudosimplitigs	18	2	50.95	2.55	38.04	79%	1256352	0	0	51.011523
yeast.S_pseudosimplitigs.k_18.d_3	yeast	pseudosimplitigs	18	3	47.64	2.07	36.14	80%	1647008	0	0	47.705473
yeast.S_pseudosimplitigs.k_18.d_4	yeast	pseudosimplitigs	18	4	92.41	23.95	43.20	72%	1394640	0	0	92.508169
yeast.S_pseudosimplitigs.k_18.d_5	yeast	pseudosimplitigs	18	5	47.87	0.98	38.02	81%	1762512	0	0	47.90952
yeast.S_streaming.k_18.d_na	yeast	streaming	18	na	10.08	0.12	8.91	89%	568640	0	0	10.133652
yeast.S_greedy.k_19.d_na	yeast	greedy	19	na	44.58	4.48	28.92	74%	2440896	0	0	44.606642
yeast.S_pseudosimplitigs.k_19.d_1	yeast	pseudosimplitigs	19	1	44.72	1.17	34.41	79%	1872896	0	0	44.782506
yeast.S_pseudosimplitigs.k_19.d_2	yeast	pseudosimplitigs	19	2	45.36	0.92	35.41	80%	2381104	0	0	45.44068
yeast.S_pseudosimplitigs.k_19.d_3	yeast	pseudosimplitigs	19	3	48.88	2.46	36.37	79%	1656768	0	0	48.931049
yeast.S_pseudosimplitigs.k_19.d_4	yeast	pseudosimplitigs	19	4	50.93	3.61	36.65	79%	1763984	0	0	50.979525
yeast.S_pseudosimplitigs.k_19.d_5	yeast	pseudosimplitigs	19	5	50.63	0.74	41.12	82%	1725072	0	0	50.688844
yeast.S_streaming.k_19.d_na	yeast	streaming	19	na	10.29	0.16	9.11	90%	477568	0	0	10.320422
yeast.S_greedy.k_20.d_na	yeast	greedy	20	na	101.47	41.62	28.52	69%	2681888	0	0	101.527651
yeast.S_pseudosimplitigs.k_20.d_1	yeast	pseudosimplitigs	20	1	45.35	1.38	34.81	79%	1731600	0	0	45.453693
yeast.S_pseudosimplitigs.k_20.d_2	yeast	pseudosimplitigs	20	2	51.38	3.55	36.93	78%	1769392	0	0	51.418353
yeast.S_pseudosimplitigs.k_20.d_3	yeast	pseudosimplitigs	20	3	49.09	1.44	38.31	80%	1698240	0	0	49.150418
yeast.S_pseudosimplitigs.k_20.d_4	yeast	pseudosimplitigs	20	4	48.45	0.72	38.99	81%	2083008	0	0	48.516956
yeast.S_pseudosimplitigs.k_20.d_5	yeast	pseudosimplitigs	20	5	50.89	1.10	40.83	82%	1991200	0	0	50.948745
yeast.S_streaming.k_20.d_na	yeast	streaming	20	na	10.20	0.13	8.89	88%	529696	0	0	10.243775
